"Date","Leaders","Place","Participating Officials","Officials Rank","Description","Resources"
"1994/09/27 - 1994/10/04","Jiang Zemin/Kim Jong-il","China","Ri Jong-ok (李钟玉) and Li Peng (李鹏)","Member of Politburo of Workers' Party of Korea and Vice President (朝鲜劳动党中央政治局委员、国家副主席) and Premier (中华人民共和国国务院总理)","Anniversary Visit: 45th anniversary of the founding of the People's Republic of China","http://www.ziliaoku.org/rmrb/1994-10-01-2#943218"
"1996/05/21 - 1996/05/25","Jiang Zemin/Kim Jong-il","China","Hong Song-nam (洪成南) and Li Peng (李鹏)","Vice Premier (朝鲜民主主义人民共和国政务院副总理) and Premier (中华人民共和国国务院总理)","Goodwill Visit: Signed Sino-North Korean economic and technology cooperation agreement, and China agreed to send 20,000 tons of food aid to North Korea","http://www.ziliaoku.org/rmrb/1996-05-23-1#1048345"
"1996/07/09 - 1996/07/13","Jiang Zemin/Kim Jong-il","China","Kim Yun-hyeok (金润赫) and Jiang Zemin (江泽明)","Vice Premier (朝鲜民主主义人民共和国政务院副总理) and General Secretary of Communist Party of China (中国共产党中央委员会总书记)","Anniversary Visit: 35th anniversary of the Sino-North Korean Mutual Aid and Cooperation Friendship Treaty","http://www.ziliaoku.org/rmrb/1996-07-11-1#1015332"
"1996/07/10 - 1996/07/13","Jiang Zemin/Kim Jong-il","North Korea","Luo Gan (罗干) and Ri Jong-ok (李钟玉)","State Councilor and Secretary General of the State Council (中国国务委员兼国务院秘书长) and Member of Politburo of Workers' Party of Korea and Vice President (朝鲜劳动党中央政治局委员、国家副主席)","Anniversary Visit: 35th anniversary of the Sino-North Korean Mutual Aid and Cooperation Friendship Treaty","http://www.ziliaoku.org/rmrb/1996-07-11-4#1015365"
"1996/08/28","Jiang Zemin/Kim Jong-il","China","Han Ji-sul (韩致雪) and Qiao Shi (乔石)","Head of the Supreme People's Procuratorate (朝鲜最高检察所代理总长) and Chairman of the Standing Committee of the National People's Congress (中华人民共和国全国人民代表大会常务委员会委员长)","Goodwill Visit: Prosecutor delegation","http://www.ziliaoku.org/rmrb/1996-08-29-1"
"1999/10/05 - 1999/10/09","Jiang Zemin/Kim Jong-il","North Korea","Tang Jiaxuan (唐家璇) and Kim Yong-nam (金永南)","Minister of Foreign Affairs (中华人民共和国外交部长) and President of the Presidium of the Supreme People's Assembly (朝鲜最高人民会议常任委员会委员长)","Anniversary Visit: 50th anniversary of Sino-North Korean relations","http://www.ziliaoku.org/rmrb/1999-10-07-3#1132115"
"1999/06/03 - 1999/06/07","Jiang Zemin/Kim Jong-il","China","Kim Yong-nam (金永南) and Li Peng (李鹏)","President of the Presidium of the Supreme People's Assembly (朝鲜最高人民会议常任委员会委员长) and Chairman of the Standing Committee of the National People's Congress (中华人民共和国全国人民代表大会常务委员会委员长)","State Visit: Official goodwill visit","http://www.ziliaoku.org/rmrb/1999-06-04-1#1156122"
"2000/03/18 - 2000/03/22","Jiang Zemin/Kim Jong-il","China","Paek Nam-sun (白南舜) and Tang Jiaxuan (唐家璇)","Minister of Foreign Affairs (朝鲜民主主义人民共和国外交部长) and Minister of Foreign Affairs (中华人民共和国外交部长)","Goodwill Visit: Ministry of Foreign Affairs invitation","http://www.ziliaoku.org/rmrb/2000-03-19-4#1185760"
"2000/05/29 - 2000/05/31","Jiang Zemin/Kim Jong-il","China","Kim Jong-il (金正日) and Jiang Zemin (江泽民)","General Secretary of Workers' Party of Korea (朝鲜劳动党中央委员会总书记) and General Secretary of Communist Party of China (中国共产党中央委员会总书记)","Summit Meeting: Unofficial visit, 1st trip to China since coming into power","http://kp.china-embassy.org/eng/zcgx/zcgxgk/t308491.htm"
"2000/09/12 - 2000/09/15","Jiang Zemin/Kim Jong-il","North Korea","Dai Bingguo (戴秉国) and Kim Jong-il (金正日)","Head of International Liaison Department of the Communist Party of China (中共中央对外联络部部长) and General Secretary of Workers' Party of Korea (朝鲜劳动党中央委员会总书记)","Goodwill Visit: Formal party invitation","http://www.ziliaoku.org/rmrb/2000-09-16-3#1169780"
